Id	Code	Level	Time	Venue	VenueId	Title	Authors	pubURL	pdf	video	github	bib	doi	image	pages	Rate	ResearchArea	Application	Demo	Highlight	Example	Award
			1-Jun-21	ACM IAIT 2021	ACM IAIT 2021	Interactive Qualitative Data Visualization for Educational Assessment [Open Access]	"Huyen Nguyen,Caleb M. Trujillo, Kevin Wee, Kathleen A. Bowe"	https://dl.acm.org/doi/10.1145/3468784.3469851	https://dl.acm.org/doi/pdf/10.1145/3468784.3469851				https://dl.acm.org/doi/10.1145/3468784.3469851	images/papers/eduvis.png					https://edu-interactive-vis.netlify.app/	5		
			1-Oct-21	ISVC 2021	ISVC 2021	JobNet: 2D and 3D Visualization for Temporal and Structural Association in High-Performance Computing System	"Ngan V.T. Nguyen, Huyen Nguyen, Tommy Dang"	https://link.springer.com/chapter/10.1007%2F978-3-030-90439-5_17	papers/2021-JobNet3D.pdf				https://doi.org/10.1007/978-3-030-90439-5_17	images/papers/jobnet3d.png						6		
C4	C		26-Oct-20	IEEE Conference on Visual Analytics Science and Technology | IEEE VAST 2020	IEEE VAST 2020	VisMCA: An Interactive Visual Analytics System for Misclassification Correction and Analysis	"Huyen Nguyen, Jake Gonzalez, Jian Guo, Ngan V.T. Nguyen, Tommy Dang"		papers/2020-VisMCA.pdf	https://youtu.be/sOdgBeeapu8	https://github.com/huyen-nguyen/VAST2020mc2			images/papers/VisMCA.png			VA		https://huyen-nguyen.github.io/VAST2020mc2/	7		"VAST Challenge 2020, Mini-Challenge 2 Honorable Mention: Detailed Analysis of Patterns of Misclassification"
C1	C		3-Dec-19	21st EG/VGTC Conference on Visualization | EuroVis 2019	EuroVis	WordStream: Interactive Visualization for Topic Evolution	"Tommy Dang,Huyen Nguyen,Vung Pham"	https://diglib.eg.org/handle/10.2312/evs20191178	https://diglib.eg.org/bitstream/handle/10.2312/evs20191178/103-107.pdf	https://idatavisualizationlab.github.io/WordStream/video.html		BibTex/WordStream.html	https://doi.org/10.2312/evs.20191178	images/papers/wordstream.png			DataVis		https://huyen-nguyen.github.io/WordStream/	8	https://idatavisualizationlab.github.io/WordStream/examples.html	
J2	J	1	2-Dec-19	Journal of Smart and Sustainable Manufacturing Systems	Impact factor: 2.217	Visualization and Explainable Machine Learning for Efficient Manufacturing and System Operations	"Dy Le,Vung Pham,Huyen Nguyen,Tommy Dang"	https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm	papers/2019-SSMS.pdf			BibTex/Manufacturing.html	https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm	images/papers/Airplane1.png	vr		DataVis			9		
J3	J	1	11-Feb-20	Environmental Earth Sciences Journal	EES	"AgasedViz: Visualizing Groundwater Availability of Ogallala Aquifer, USA"	"Tommy Dang,Vung Pham,Huyen Nguyen,Ngan Nguyen"	https://link.springer.com/article/10.1007/s12665-020-8851-6	https://link.springer.com/content/pdf/10.1007/s12665-020-8851-6.pdf		https://AgasedViz.github.io	BibTex/AgasedViz.html	https://doi.org/10.1007/s12665-020-8851-6	images/papers/AgasedViz.png			DataVis	E		10		
C2	C		20-Dec-19	IEEE Conference on Visual Analytics Science and Technology | IEEE VAST 2019	VAST 2019	EQSA: Earthquake Situational Analytics from Social Media	"Huyen Nguyen,Tommy Dang"	https://ieeexplore.ieee.org/abstract/document/8986947	papers/2019-EQSA-VAST.pdf	https://www.youtube.com/watch?v=CxqILM1OKos		BibTex/EQSA.html	https://doi.org/10.1109/VAST47406.2019.8986947	images/papers/EQSA.png			DataVis		https://idatavisualizationlab.github.io/VAST2019mc3/	11		
C5	C		10/6/20	15th International Symposium on Visual Computing | ISVC 2020	ISVC 2020	Interface Design for HCI Classroom: From Learners' Perspective	"Huyen Nguyen,Vinh T. Nguyen,Tommy Dang"		papers/2020-TeachingHCI.pdf			BibTex/TeachingHCI.html	https://link.springer.com/chapter/10.1007/978-3-030-64559-5_43	images/papers/HCI.png			HCI			12		
			1-Jun-21	ACM IAIT 2021	ACM IAIT 2021	VixLSTM: Visual Explainable LSTM for Multivariate Time Series	"Tommy Dang, Huyen Nguyen, Ngan V.T. Nguyen"	https://dl.acm.org/doi/abs/10.1145/3468784.3471603	papers/2021-VixLSTM.pdf				https://doi.org/10.1145/3468784.3471603	images/papers/vixLSTM.png						13		
C3	C		6-Jul-20	11th International Conference on Advances in Information Technology | ACM IAIT 2020	IAIT 2020	DeepVix: Explaining Long Short-Term Memory Network With High Dimensional Time Series Data	"Tommy Dang,Hao Van,Huyen Nguyen,Vung Pham,Rattikorn Hewett"	https://dl.acm.org/doi/abs/10.1145/3406601.3406643	papers/2020-DeepVix.pdf			BibTex/DeepVix.html	https://dl.acm.org/doi/abs/10.1145/3406601.3406643	images/papers/deepvix.png			"DataVis,ML"			14		
W2	W		1-Dec-19	Workshop on Big Data Engineering and Analytics in Cyber-Physical Systems | BigEACPS'19	BigData	"HackerNets: Visualizing Media Conversations on Internet of Things, Big Data, and Cybersecurity"	"Hao Van,Huyen Nguyen,Rattikorn Hewett,Tommy Dang"	https://ieeexplore.ieee.org/document/9006417	papers/2019-HackerNets-BigData.pdf			BibTex/HackerNets.html	https://doi.org/10.1109/BigData47090.2019.9006417	images/papers/HackerNets.png			"IoT,BigData,DataVis"			15		
P1	P		8-Oct-19	Scientific Computing meets Machine Learning and Life Sciences	SCMLLS 2019	Interactive Visualization for Earthquake Analytics from Social Media Data	"Huyen Nguyen,Tommy Dang"	http://www.math.ttu.edu/scmlls2019/	papers/2019-Interactive.pdf					images/papers/eqsa-talk.png						16		
J4	J		1-Mar-20	"ICSES Interdisciplinary Transactions on Cloud Computing, IoT, and Big Data"	IITCIB	Big Data Visualization for the Internet of Things: Opportunities and Challenges with Human Factors	"Huyen Nguyen,Tommy Dang"	http://www.i-cses.com/iitcib/manuscript.php?jID=5&pID=336	papers/2020-IITCIB.pdf					images/papers/iitcib.png								
W1	W		10-Dec-18	Workshop on Big Data Engineering and Analytics in Cyber-Physical Systems | BigEACPS'18	BIgData	IoTNegViz: An Interactive Tool for Visualizing Negative Aspects of IoT	"Huyen Nguyen,Vinh Nguyen,Ngan Nguyen,Vung Pham,TommyDang"	https://ieeexplore.ieee.org/document/8621984	papers/2018-IoTNegViz-BigData.pdf			BibTex/IoTNegViz.html	https://doi.org/10.1109/BigData.2018.8621984	images/papers/IoTNegViz.png			"DataVis,IoT,BigData"					
J1	J		30-Jun-18	ICSES Transactions on Computer Networks and Communications	ITCNC	Wavelet-based Energy Efficient Data Collection Algorithm in Wireless Sensor Networks	"Minh Nguyen,Huyen Nguyen,Keith Teague"	http://www.i-cses.com/itcnc/manuscript.php?jID=3&pID=123	http://www.i-cses.com/itcnc/Archive/V4N2/ITCNC_2018-04-24_123.pdf			BibTex/WSN.html	https://doi.org/10.31424/icses.itcnc.2018.v4.n2	images/papers/Wsn.png			WSN					
			10-Oct-22	"NLVIZ: Exploring Research Opportunities for Natural Language, Text, and Data Visualization @ IEEE VIS 2022"	NLViZ @ IEEE VIS 2022	WordStream Maker: A Lightweight End-to-end Visualization Platform for Qualitative Time-series Data	"Huyen Nguyen,Tommy Dang,Kathleen A Bowe"	https://arxiv.org/pdf/2209.11856.pdf	https://arxiv.org/pdf/2209.11856.pdf		https://github.com/huyen-nguyen/maker			images/papers/maker.png					https://huyen-nguyen.github.io/maker/	3		
			11-Oct-22	"Bio+MedVis Challenge @ IEEE VIS 2022	"	"Bio+MedVis Challenge @ IEEE VIS 2022	"	Modie Viewer: Protein Beasts and How to View Them	"Huyen Nguyen,Caleb Trujillo,Tommy Dang"	https://arxiv.org/pdf/2209.12140.pdf	https://arxiv.org/pdf/2209.12140.pdf					images/papers/modie.png					https://huyen-nguyen.github.io/biomed-vis/	4		
			12-Oct-22	"IEEE Access, 2022"	IEEE Access	MalView: Interactive Visual Analytics for Comprehending Malware Behavior	"Huyen Nguyen,Faranak Abri,Vung Pham,Moitrayee Chatterjee,Akbar Siami Namin,Tommy Dang"	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9895250	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9895250				https://ieeexplore.ieee.org/abstract/document/9895250	images/papers/malview.png					https://malview.netlify.app/	2		
			12-Oct-23	"Doctoral Dissertation in Computer Science, Texas Tech University, 2023"	Texas Tech Library Repository	Interactive Visualization and Event Detection in Time-series Data	Huyen Nguyen	https://hdl.handle.net/2346/96896	papers/2023-NGUYEN-DISSERTATION.pdf				https://hdl.handle.net/2346/96896	images/papers/Dissertation.png						1		
																						
